epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,6494.21,1.0425,0.83198,1.45598,0.92185,0.83462,0.91186,0.64143,1.0395,0.61968,1.45108,0.0066736,0.0066736,0.0066736
86,6569.89,1.04243,0.82302,1.45408,0.96001,0.9247,0.93627,0.67109,1.03591,0.60334,1.44403,0.006634,0.006634,0.006634
87,6645.48,1.04441,0.82775,1.45788,0.93782,0.93332,0.94056,0.63979,1.04749,0.60754,1.44982,0.0065944,0.0065944,0.0065944
88,6721.18,1.02973,0.81695,1.44658,0.94066,0.88397,0.94241,0.69197,1.03717,0.60353,1.44722,0.0065548,0.0065548,0.0065548
89,6796.69,1.05091,0.826,1.4647,0.92207,0.9051,0.9279,0.66923,1.04188,0.60807,1.44845,0.0065152,0.0065152,0.0065152
90,6872.34,1.03859,0.81874,1.44917,0.85991,0.92472,0.93353,0.68125,1.01482,0.59766,1.41189,0.0064756,0.0064756,0.0064756
91,6948.11,1.02702,0.80461,1.43851,0.94023,0.88429,0.9408,0.67627,1.02261,0.60524,1.4232,0.006436,0.006436,0.006436
92,7023.77,1.03349,0.81505,1.44763,0.93565,0.89991,0.94405,0.66756,1.01898,0.60211,1.4223,0.0063964,0.0063964,0.0063964
93,7099.32,1.02457,0.80019,1.43644,0.94587,0.93635,0.9428,0.68442,1.00356,0.58617,1.4052,0.0063568,0.0063568,0.0063568
94,7174.97,1.02641,0.79592,1.43637,0.93043,0.82973,0.92822,0.68782,1.0027,0.57256,1.40796,0.0063172,0.0063172,0.0063172
95,7250.43,1.01642,0.79545,1.43568,0.92217,0.82424,0.9217,0.66001,1.00482,0.58216,1.40015,0.0062776,0.0062776,0.0062776
96,7326.14,1.01186,0.78653,1.43056,0.91204,0.84427,0.91218,0.66475,1.00507,0.57114,1.41148,0.006238,0.006238,0.006238
97,7401.79,1.01277,0.79423,1.42584,0.90444,0.87567,0.92687,0.67368,1.00075,0.5804,1.40422,0.0061984,0.0061984,0.0061984
98,7477.37,1.0023,0.78349,1.42174,0.88209,0.92518,0.92558,0.69903,0.98911,0.57138,1.39064,0.0061588,0.0061588,0.0061588
99,7553.44,1.00492,0.77985,1.41624,0.94324,0.92449,0.9497,0.70617,1.01115,0.57396,1.40875,0.0061192,0.0061192,0.0061192
100,7629.27,0.99761,0.77446,1.41224,0.93795,0.91013,0.95047,0.7077,0.99547,0.57054,1.4003,0.0060796,0.0060796,0.0060796
101,7704.98,0.99293,0.77793,1.41173,0.9445,0.91651,0.94576,0.71812,0.98146,0.56726,1.38282,0.00604,0.00604,0.00604
102,7780.76,0.99548,0.78645,1.41199,0.9434,0.8918,0.93543,0.69435,0.99069,0.5637,1.39463,0.0060004,0.0060004,0.0060004
103,7856.28,0.97924,0.75768,1.39993,0.96054,0.86563,0.93759,0.705,0.98399,0.56473,1.38726,0.0059608,0.0059608,0.0059608
104,7931.62,0.99279,0.76713,1.41219,0.90401,0.8751,0.92763,0.68018,0.97786,0.5715,1.38275,0.0059212,0.0059212,0.0059212
