                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.43831,                0.30525,                 0.8572,                0.94896,                0.97934,                0.98188,                0.84872,                0.62105,                0.36191,                0.95896,             0.00022178,             0.00022178,             0.00022178
                    130,                0.45033,                0.31283,                0.86052,                0.96487,                0.97027,                0.98038,                0.84016,                0.60969,                0.36457,                0.95275,             0.00021235,             0.00021235,             0.00021235
                    131,                 0.4481,                0.32443,                0.86383,                0.97268,                0.97173,                0.98179,                0.83932,                 0.6236,                0.34757,                0.95654,             0.00020292,             0.00020292,             0.00020292
                    132,                0.41349,                0.29875,                0.85058,                0.96533,                0.96608,                0.98257,                0.83709,                0.62884,                0.34474,                0.96106,             0.00019349,             0.00019349,             0.00019349
                    133,                0.42683,                0.30903,                0.85081,                0.96263,                0.97414,                0.98112,                0.84666,                0.61446,                0.34625,                0.95615,             0.00018406,             0.00018406,             0.00018406
                    134,                0.42871,                0.30446,                0.85812,                0.94824,                0.97754,                0.98172,                0.84607,                0.62855,                0.34402,                 0.9596,             0.00017462,             0.00017462,             0.00017462
                    135,                0.41711,                0.30285,                0.85493,                0.95238,                0.97295,                0.98115,                0.84813,                0.60678,                0.34607,                0.94981,             0.00016519,             0.00016519,             0.00016519
                    136,                0.43788,                0.30319,                0.85658,                0.97872,                 0.9397,                0.98226,                0.84867,                0.61621,                 0.3505,                 0.9538,             0.00015576,             0.00015576,             0.00015576
                    137,                0.43319,                0.30194,                0.85533,                0.97857,                0.95353,                0.97837,                0.84771,                0.61576,                0.35386,                0.95501,             0.00014633,             0.00014633,             0.00014633
                    138,                 0.4278,                0.30384,                0.86383,                0.94919,                0.96676,                0.98145,                0.84649,                0.60714,                 0.3457,                0.94759,              0.0001369,              0.0001369,              0.0001369
                    139,                0.40352,                0.28372,                0.84818,                0.98872,                 0.9538,                0.98218,                0.84352,                0.61989,                 0.3405,                0.95879,             0.00012747,             0.00012747,             0.00012747
                    140,                0.40313,                0.29353,                0.84601,                0.96103,                0.97175,                0.98235,                0.84436,                0.62301,                0.34426,                0.95623,             0.00011804,             0.00011804,             0.00011804
                    141,                0.40534,                 0.2851,                0.85051,                0.96318,                0.96552,                0.98293,                0.84823,                0.62146,                0.34286,                0.95613,              0.0001086,              0.0001086,              0.0001086
                    142,                0.41502,                0.28796,                 0.8507,                0.96283,                0.96552,                0.98277,                0.85038,                0.60981,                0.33986,                0.94832,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    143,                0.41011,                0.29679,                0.84656,                0.95496,                0.96552,                0.98192,                 0.8444,                0.60554,                0.34356,                0.94904,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    144,                0.39613,                0.27634,                0.84751,                0.98113,                0.94828,                0.98273,                0.84574,                0.62134,                0.33721,                0.95507,              8.031e-05,              8.031e-05,              8.031e-05
                    145,                0.41101,                0.28329,                0.83645,                0.96294,                0.96552,                0.98167,                0.84904,                0.60322,                0.33663,                0.94575,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    146,                0.39656,                  0.281,                0.84034,                0.95946,                0.96552,                  0.982,                0.84862,                0.60832,                0.33693,                0.94915,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    147,                0.39803,                0.27944,                0.85039,                0.96357,                0.96552,                0.98185,                0.84912,                0.60617,                0.33381,                0.94745,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    148,                0.39757,                0.29096,                 0.8387,                0.97245,                0.95124,                0.98251,                0.84373,                0.61952,                0.33737,                0.95113,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    149,                0.40397,                 0.2847,                0.84866,                0.96517,                0.96524,                0.98225,                0.84607,                0.61912,                 0.3417,                0.95422,             3.3153e-05,             3.3153e-05,             3.3153e-05
                    150,                0.40335,                 0.2735,                0.85193,                0.96533,                0.96552,                0.98191,                0.84808,                0.61735,                0.34336,                0.95274,             2.3721e-05,             2.3721e-05,             2.3721e-05
